parameters_m,tokens_b,task,task_label,n,base_acc,hq_acc,gap_acc_pp,base_acc_norm,hq_acc_norm,gap_acc_norm_pp
56,9.437,openbookqa,OpenBookQA,500,0.152,0.182,3.0,0.28,0.308,2.799999999999997
56,9.437,piqa,PIQA,1838,0.6158868335146899,0.6115342763873776,-0.43525571273123065,0.6180631120783461,0.6077257889009793,-1.0337323177366797
56,9.437,sciq,SciQ,1000,0.733,0.736,0.30000000000000027,0.642,0.651,0.9000000000000008
56,9.437,siqa,SIQA,1954,0.36489252814739,0.3633572159672467,-0.15353121801433,0.406345957011259,0.40583418628454454,-0.051177072671443335
56,9.437,winogrande,WinoGrande,1267,0.4988161010260458,0.5074980268350434,0.8681925808997626,0.48855564325177586,0.49171270718232046,0.31570639305446013
56,10.486,arc_challenge,ARC-C,1172,0.196246,0.213311,1.7064999999999997,0.237201,0.250853,1.3651999999999997
56,10.486,arc_easy,ARC-E,2376,0.49537037037037035,0.5290404040404041,3.367003367003374,0.4271885521885522,0.4823232323232323,5.513468013468015
56,10.486,csqa,CSQA,1221,0.2457002457002457,0.2784602784602785,3.2760032760032782,0.27436527436527436,0.29975429975429974,2.538902538902538
56,10.486,hellaswag,HellaSwag,10042,0.27902808205536744,0.2840071698864768,0.4979087831109341,0.29864568810993825,0.3021310495917148,0.34853614817765277
56,10.486,mmlu,MMLU,14042,0.2299529981484119,0.22981056829511465,-0.014242985329726565,0.2299529981484119,0.22981056829511465,-0.014242985329726565
56,10.486,openbookqa,OpenBookQA,500,0.144,0.186,4.200000000000001,0.29,0.304,1.4000000000000012
56,10.486,piqa,PIQA,1838,0.6147986942328618,0.6137105549510338,-0.10881392818280489,0.6147986942328618,0.6153427638737758,0.05440696409140244
56,10.486,sciq,SciQ,1000,0.746,0.766,2.0000000000000018,0.639,0.706,6.699999999999995
56,10.486,siqa,SIQA,1954,0.3633572159672467,0.3751279426816786,1.1770726714431912,0.40736949846468784,0.41299897645854655,0.5629477993858711
56,10.486,winogrande,WinoGrande,1267,0.5074980268350434,0.5272296764009471,1.9731649565903675,0.5059194948697711,0.4964483030781373,-0.9471191791633748
56,11.534,arc_challenge,ARC-C,1172,0.199659,0.205631,0.5972000000000005,0.255973,0.242321,-1.3651999999999997
56,11.534,arc_easy,ARC-E,2376,0.4903198653198653,0.5281986531986532,3.78787878787879,0.4276094276094276,0.476010101010101,4.840067340067339
56,11.534,csqa,CSQA,1221,0.23996723996723995,0.27354627354627353,3.357903357903358,0.2702702702702703,0.30303030303030304,3.2760032760032756
56,11.534,hellaswag,HellaSwag,10042,0.2832105158334993,0.2819159529974109,-0.12945628360884198,0.3000398327026489,0.3071101374228241,0.7070304720175224
56,11.534,mmlu,MMLU,14042,0.2299529981484119,0.23016664292835778,0.021364477994587072,0.2299529981484119,0.23016664292835778,0.021364477994587072
56,11.534,openbookqa,OpenBookQA,500,0.158,0.19,3.2,0.288,0.294,0.6000000000000005
56,11.534,piqa,PIQA,1838,0.6218715995647442,0.6191512513601741,-0.2720348204570122,0.6164309031556039,0.6186071817192601,0.21762785636562088
56,11.534,sciq,SciQ,1000,0.742,0.756,1.4000000000000012,0.628,0.689,6.099999999999994
56,11.534,siqa,SIQA,1954,0.3618219037871034,0.38024564994882293,1.8423746161719545,0.41146366427840325,0.4181166837256909,0.6653019447287634
56,11.534,winogrande,WinoGrande,1267,0.5185477505919495,0.5185477505919495,0.0,0.5035516969218626,0.5011838989739542,-0.23677979479084232
56,12.583,arc_challenge,ARC-C,1172,0.194539,0.205631,1.1092000000000017,0.233788,0.25256,1.877200000000001
56,12.583,arc_easy,ARC-E,2376,0.4970538720538721,0.5155723905723906,1.851851851851849,0.43686868686868685,0.4764309764309764,3.9562289562289576
56,12.583,csqa,CSQA,1221,0.25225225225225223,0.25552825552825553,0.3276003276003303,0.27682227682227684,0.28665028665028663,0.9828009828009798
56,12.583,hellaswag,HellaSwag,10042,0.28201553475403307,0.28589922326229833,0.38836885082652595,0.2989444333798048,0.3080063732324238,0.9061939852618994
