parameters_m,tokens_b,base_macro10_acc,hq_macro10_acc,gap_macro10_acc_pp,base_macro10_acc_norm,hq_macro10_acc_norm,gap_macro10_acc_norm_pp,base_original_macro4_acc,hq_original_macro4_acc,gap_original_macro4_acc_pp,hq_task_wins_raw,hq_task_ties_raw
263,5.243,0.41396060436668236,0.42527995853570355,1.1319354169021167,0.42683402585712765,0.43592186870973626,0.9087842852608603,0.4406190272371494,0.4608368950784576,2.02178678413083,6,0
263,7.34,0.4188323220442851,0.43110999388280336,1.2277671838518271,0.43199078659341283,0.4377406416892584,0.5749855095845541,0.44290316566228016,0.46284671196295846,1.9943546300678268,7,0
263,8.389,0.42177024878533553,0.43340890317891284,1.163865439357735,0.4335536271730886,0.44291120884105756,0.935758166796899,0.4472066204192757,0.46760562283333496,2.039900241405923,5,0
263,9.437,0.424308436115845,0.43269826623817015,0.8389830122325129,0.4375332127650652,0.44583647132191606,0.830325855685085,0.4468975079552661,0.46307478406825653,1.617727611299044,5,0
263,10.486,0.4257612420314493,0.43730937898095135,1.1548136949502015,0.4393729111155055,0.4508665954165318,1.1493684301026215,0.4544211654501565,0.4706308783832577,1.620971293310117,7,0
263,11.534,0.4295951484018648,0.4357367191839939,0.6141570782129189,0.43633155196654927,0.4477207208278379,1.138916886128865,0.4573695229151414,0.4683301211068154,1.096059819167404,7,0
263,12.583,0.4323550199489025,0.439462721137675,0.7107701188772511,0.43677555626853887,0.44782097501771523,1.1045418749176332,0.4676021919479052,0.4761668171572188,0.8564625209313615,5,0
263,13.631,0.43509333572081443,0.43912725567707556,0.4033919956261208,0.4472991852840559,0.4503714255924935,0.3072240308437662,0.46412466653942,0.47719712503761247,1.3072458498192439,3,0
263,14.68,0.43199797033740506,0.4425260645460288,1.052809420862367,0.44015815223012805,0.45428947021318483,1.413131798305673,0.4637011780565183,0.4760357193892095,1.2334541332691171,7,0
263,15.729,0.43365979926437614,0.44191249109153247,0.8252691827156345,0.44192466565480587,0.4494403645826498,0.7515698927843925,0.4645601319448364,0.4781355841993947,1.3575452254558265,4,0
263,16.777,0.4317566566102843,0.43968748149467407,0.7930824884389727,0.4381951588148584,0.4550848938046296,1.6889734989771175,0.4611506798529411,0.476355019600201,1.5204339747259779,5,0
263,17.826,0.43386810884121996,0.43802584158201957,0.4157732740799661,0.4385904266316233,0.4493363080622263,1.074588143060303,0.4653842402287464,0.47044423987969947,0.5059999650953064,5,0
263,18.874,0.43855375478083786,0.447280178643516,0.8726423862678159,0.44901250089192707,0.4569049064189585,0.7892405527031441,0.4710872959870583,0.4846565095155738,1.3569213528515562,6,0
263,19.923,0.4383521165774608,0.44795528443382093,0.9603167856360066,0.4496906062998896,0.45880678435719774,0.9116178057308082,0.4764794702762998,0.48650825427490674,1.0028783998606963,7,0
